index,Site,Event Date,WUC,Failure,R&R,Action Taken,Rem Sn,Ins Sn,How Mal
2855,3F01,2/19/2015,JA200,,,X,,,799
2856,3F01,2/20/2015,JA200,,,X,,,799
3012,3F01,9/11/2015,JA200          ,0,0,X,               ,               ,799
3047,3F01,11/25/2015,JA200          ,0,0,X,               ,               ,799
3303,3F01,2/8/2018,JA200,0,0,L,,,804
3323,3F01,4/18/2018,JA200,0,0,L,,,127
1719,3F02,10/16/2010,JB200,,,X,,,799
1725,3F02,10/21/2010,JB200,,,X,,,799
2804,3F02,8/28/2014,JB200,,,G,,,105
2163,3F03,1/26/2012,,,,,,602,801
2839,3F03,1/7/2015,JB200,,,X,,,799
1540,3F04,3/3/2010,JB200,,,L,,,2
2312,3F04,6/6/2012,,,,,,,801
1672,3F05,7/15/2010,JB200,,,G,,,105
1673,3F05,7/15/2010,JB200,,,,,,801
2187,3F06,3/14/2012,JB200,1,1,R,000MG00648,753,242
1680,3F07,8/5/2010,JB200,,,,,,801
1676,3F08,7/29/2010,JB200,,,,,,801
1679,3F08,7/30/2010,JB25D,,,R,,,801
2207,3F09,4/3/2012,,,,,,468,801
2295,3F10,5/22/2012,,,,,,81,801
2436,3F10,10/4/2012,JB200,,,Y,,,169
2437,3F10,10/4/2012,JB200,,,Y,,,242
2438,3F10,10/4/2012,JB200,0,0,Y,,,311
2272,3F11,5/16/2012,,,,,,690,801
2813,3G01,9/24/2014,JA200,,,X,,,799
2857,3G01,2/26/2015,JA200,,,X,,,799
3269,3G01,11/8/2017,JA200,0,0,X,,,799
2832,3G02,12/2/2014,JB200,,,H,,,799
2209,3G03,4/5/2012,,,,,,55,801
2176,3G04,2/23/2012,,,,,,375,801
2411,3G05,9/6/2012,,,,,,,801
2067,3G06,8/16/2011,JB200,,,Y,,,721
2068,3G06,8/16/2011,JB200,,,X,,,799
2070,3G06,8/17/2011,JB21A,1,,R,,,135
2071,3G06,8/17/2011,JB200,,,X,,,799
2100,3G06,10/14/2011,JB200,,,L,,,410
2155,3G06,1/11/2012,,,,,,642,801
2203,3G07,3/29/2012,,,,,,337,801
2179,3G08,3/1/2012,,,,,,610,801
2817,3G09,10/2/2014,JB200,1,1,R,000MG01728,000MG00145,900
2175,3G11,2/22/2012,,,,,,774,801
1678,3H01,7/30/2010,JA200,,,X,,,799
1739,3H01,11/17/2010,JA200,,,X,,,799
1810,3H01,1/4/2011,JA200,,,X,,,799
3251,3H01,9/15/2017,JA200          ,0,0,X,               ,               ,799
3265,3H01,10/26/2017,JA200,0,0,X,,,799
2482,3H02,11/20/2012,,,,,,,801
2460,3H03,11/1/2012,,,,,,,802
2467,3H03,11/5/2012,,,,,,,801
2383,3H04,7/25/2012,,,,,,,801
2364,3H05,7/3/2012,,,,,,,801
2374,3H06,7/12/2012,,,,,,,801
2354,3H07,6/25/2012,,,,,,,801
2395,3H08,8/9/2012,,,,,,,801
2430,3H09,10/2/2012,,,,,,,801
2451,3H10,10/22/2012,,,,,,,801
2390,3H11,8/7/2012,,,,,,,801
1832,3I01,2/22/2011,JA200,,,X,,,799
2164,3I01,1/31/2012,,,,,,,801
2521,3I01,3/6/2013,JA200,,,X,,,799
2820,3I01,10/10/2014,JA200,,,X,,,799
2821,3I01,10/10/2014,JA200,,,X,,,799
2826,3I01,11/16/2014,JA200,1,1,R,1062,1005,308
2827,3I01,11/18/2014,JA200,,,X,,,799
2828,3I01,11/18/2014,JA200,,,X,,,799
3055,3I01,12/16/2015,JA200          ,0,0,X,               ,               ,799
1670,3I03,7/13/2010,JB200,,,,,,801
2387,3I05,8/3/2012,JB200,1,1,R,000MG00452,000MG00232,6
2396,3I05,8/9/2012,,,,,,,801
1563,3I06,4/23/2010,,,,,,,801
2511,3I07,1/24/2013,JB21A,0,0,Z,,,170
2513,3I07,1/29/2013,,,,,,,801
1681,3I08,8/5/2010,JB200,,,,,,801
2077,3I09,9/15/2011,JB200,,,X,,,799
2720,3I09,12/4/2013,JB200,1,1,R,MG00850,MG01741,242
3113,3I09,7/28/2016,JB21A,1,0,R,,,6
3134,3I09,11/18/2016,JB200          ,0,0,Y,               ,               ,255
3135,3I09,11/19/2016,JB21A,1,0,R,,,6
3307,3I09,2/28/2018,JB200,0,0,Y,,,169
3308,3I09,3/1/2018,JB200,0,0,Y,,,167
3309,3I09,3/1/2018,JB200,0,0,X,,,799
3312,3I09,3/8/2018,JB200,1,1,R,1741,444,690
3313,3I09,3/9/2018,JB200,0,0,H,,,799
1675,3I10,7/28/2010,JB200,,,,,,801
2495,3I11,12/13/2012,,,,,,,801
1588,3J01,5/19/2010,JA200,,,X,,,799
1669,3J01,7/9/2010,JA200,,,X,,,799
2528,3J01,4/20/2013,JA200,1,1,R,1046,1019,70
2775,3J01,6/20/2014,JA200,,,X,,,799
2776,3J01,6/21/2014,JA200,,,X,,,799
2777,3J01,6/21/2014,JA200,,,H,,,799
3064,3J01,1/22/2016,JA200          ,0,0,X,               ,               ,799
3074,3J01,3/1/2016,JA200          ,0,0,X,               ,               ,799
3147,3J01,1/11/2017,JA200          ,0,0,L,               ,               ,812
3294,3J01,1/6/2018,JA200,0,0,H,,,812
2069,3J02,8/16/2011,,,,,,,801
2489,3J02,12/4/2012,JB200,,,G,,,105
2119,3J03,11/8/2011,,,,,,45,801
2841,3J03,1/14/2015,JB200,,,G,,,105
3190,3J03,4/4/2017,JB200          ,0,0,G,               ,               ,750
2025,3J04,7/12/2011,,,,,,,801
2131,3J06,12/6/2011,,,,,,451,801
2137,3J07,12/15/2011,,,,,,744,801
2138,3J07,12/15/2011,JB25B,0,0,H,,,799
2789,3J07,7/17/2014,JB200,,,Y,,,721
2790,3J07,7/17/2014,JB25E,0,1,R,,,721
2791,3J07,7/18/2014,JB25B,0,1,R,,,721
2806,3J07,9/9/2014,JB200,,,Y,,,290
2807,3J07,9/9/2014,JB200,,,X,,,799
2862,3J07,3/17/2015,JB200,,,X,,,799
2385,3J08,7/26/2012,,,,,,,801
2169,3J09,2/14/2012,,,,,,76,801
2152,3J10,1/3/2012,,,,,,10630,801
2124,3J11,11/16/2011,,,,,,658,801
2108,3K01,10/26/2011,JA200,,,X,,,799
2192,3K01,3/21/2012,,,,,,,801
2201,3K01,3/29/2012,JA200,,,X,,,799
3300,3K01,1/24/2018,JA200,0,0,H,,,812
1541,3K02,3/9/2010,JB200,,,X,,,799
1542,3K02,3/9/2010,JB200,,,Y,,,900
1543,3K02,3/10/2010,JB200,1,1,R,000MG00217,000MG00800,900
1544,3K02,3/11/2010,JB200,,,9,000MG00217,,900
1545,3K02,3/12/2010,JB200,,,Y,,,305
1546,3K02,3/12/2010,JB200,1,1,R,000MG00800,000MG00787,615
1547,3K02,3/12/2010,JB200,,,9,000MG00800,,900
1668,3K03,6/23/2010,,,,,,,801
1539,3K04,3/1/2010,JB200,,,L,,,2
2104,3K04,10/19/2011,,,,,,330,801
1717,3K05,10/13/2010,,,,,,,801
2522,3K05,3/7/2013,JB200,,,G,,,105
1709,3K06,10/5/2010,,,,,,,801
1689,3K07,8/25/2010,JB200,,,H,,,799
1691,3K07,8/26/2010,JB200,,,,,,801
1686,3K08,8/18/2010,JB200,,,,,,801
1929,3K08,5/22/2011,JB25D,,,F,,,730
1566,3K09,5/12/2010,,,,,,,801
2442,3K09,10/11/2012,JB200,,,G,,,105
1606,3K10,5/20/2010,,,,,,,801
1659,3K11,6/10/2010,,,,,,,801
3129,3K11,11/4/2016,JB200          ,0,0,X,               ,               ,799
2222,3L01,4/19/2012,,,,,,,801
2812,3L01,9/23/2014,JA200,,,X,,,799
3304,3L01,2/17/2018,JA200,0,0,Y,,,255
3305,3L01,2/18/2018,JA200,0,0,H,,,799
1731,3L03,11/1/2010,,,,,,,801
1564,3L06,5/3/2010,,,,,,,801
1859,3L11,4/19/2011,JB200,,,L,,,105
2117,3M01,11/2/2011,JA200,,,L,,,127
2143,3M01,12/20/2011,JA200,,,X,,,799
2145,3M01,12/21/2011,JA200,,,L,,,944
2242,3M01,5/3/2012,,,,,,,801
2392,3M01,8/9/2012,JA200,,,X,,,799
2730,3M01,12/24/2013,JA200,,,X,,,799
3004,3M01,8/28/2015,JA200          ,0,0,L,               ,               ,812
3005,3M01,8/28/2015,JA200          ,0,0,X,               ,               ,799
3119,3M01,9/12/2016,JA200          ,0,0,X,               ,               ,799
3120,3M01,9/15/2016,JA200          ,0,0,X,               ,               ,799
3186,3M01,3/27/2017,JA200          ,0,0,L,               ,               ,812
2765,3M03,4/21/2014,JB200,,,L,,,876
3044,3M04,11/10/2015,JB200          ,0,0,Y,               ,               ,254
3181,3M05,3/3/2017,JB200          ,0,0,X,               ,               ,799
3183,3M05,3/4/2017,JB200          ,0,0,X,               ,               ,799
2450,3M08,10/19/2012,JB200,,,L,,,127
1516,3M10,10/14/2009,JB200,1,,Y,,,242
1517,3M10,10/15/2009,JB200,,,H,,,799
1812,3M10,1/6/2011,,,,,,,801
1742,3M11,11/23/2010,,,,,,,801
2712,3M11,11/20/2013,JB200,,,G,,,876
2429,3N01,9/21/2012,JA200,1,1,R,00MG001025,00MG001026,169
2502,3N01,12/22/2012,JA200,,,L,,,127
2758,3N01,4/10/2014,JA200,,,X,,,799
2772,3N01,6/6/2014,JA200,1,1,R,00MG001026,1008,721
2869,3N01,5/2/2015,JA200,0,0,X,,,799
2870,3N01,5/6/2015,JA200,0,0,X,,,799
2922,3N01,6/6/2015,JA200          ,0,0,G,               ,               ,105
3087,3N01,4/26/2016,JA200          ,0,0,L,               ,               ,804
3103,3N01,6/28/2016,JA200          ,0,0,L,               ,               ,812
3122,3N01,10/10/2016,JA200          ,0,0,X,               ,               ,799
3182,3N01,3/4/2017,JA200          ,0,0,L,               ,               ,8
3315,3N01,3/15/2018,JA200,0,0,H,,,812
3318,3N01,4/3/2018,JA200,0,0,X,,,799
2241,3N02,5/1/2012,,,,,,194,801
1520,3N03,10/26/2009,JB200,,,X,,,799
1521,3N03,10/26/2009,JB200,,,X,,,799
1821,3N03,2/8/2011,JB200,1,1,R,000MG01745,000MG00187,70
1822,3N03,2/8/2011,JB200,,,H,,,799
1827,3N03,2/11/2011,,,,,,,801
1818,3N04,1/27/2011,,,,,,,801
2118,3N04,11/2/2011,JB200,,,L,,,876
2883,3N05,5/26/2015,JB200          ,0,0,G,               ,               ,876
1814,3N06,1/18/2011,,,,,,,801
2060,3N07,7/21/2011,,,,,,,801
3002,3N07,8/26/2015,JB200          ,0,0,X,               ,               ,799
3003,3N07,8/26/2015,JB200          ,0,0,X,               ,               ,799
3006,3N07,8/28/2015,JB200          ,0,0,X,               ,               ,799
3046,3N08,11/23/2015,JB200          ,0,0,G,               ,               ,799
2507,3N09,1/22/2013,JB200,,,G,,,105
3344,3N10,5/29/2018,JB200,0,0,Y,,,721
3347,3N10,5/31/2018,JB25B,1,1,R,,,721
1556,3N11,4/14/2010,JB200,,,G,,,105
1557,3N11,4/14/2010,,,,,,,801
1865,3O01,4/28/2011,JA200,,,X,,,799
1988,3O01,6/13/2011,JA200,,,X,,,799
2336,3O01,6/20/2012,JA200,,,V,,,230
2337,3O01,6/20/2012,,,,,,,801
3146,3O01,1/6/2017,JA200          ,0,0,L,               ,               ,812
1849,3O02,3/30/2011,JB200,1,1,R,000MG00759,391,135
2448,3O02,10/16/2012,JB200,,,L,,,127
3015,3O02,9/15/2015,JB200          ,0,0,X,               ,               ,799
1925,3O03,5/17/2011,,,,,,,801
2526,3O03,4/16/2013,JB200,,,L,,,876
2527,3O03,4/16/2013,JB250,0,0,L,,,167
1519,3O04,10/21/2009,JB200,,,X,,,799
2446,3O04,10/15/2012,JB200,,,G,,,105
2082,3O05,10/4/2011,,,,,,368,801
2080,3O06,9/27/2011,,,,,,,801
2372,3O07,7/11/2012,,,,,,,801
2763,3O07,4/18/2014,JB200,,,H,,,799
1834,3O08,2/28/2011,,,,,,,801
2764,3O08,4/18/2014,JB200,,,L,,,876
1837,3O09,3/8/2011,,,,,,,801
1845,3O10,3/24/2011,,,,,,,801
2377,3O10,7/17/2012,JB200,,,L,,,127
1856,3O11,4/12/2011,,,,,,,801
1860,3O11,4/24/2011,JB200,,,Y,,,812
2239,50,5/1/2012,JA200,1,1,R,1102,1067,242
2797,5.00E+01,8/16/2014,JA200,,,Y,,,721
2798,50,8/16/2014,JA200,1,1,R,1067,1023,900
2799,5.00E+01,8/16/2014,JA200,,,1,,1067,900
2808,5.00E+01,9/17/2014,JA200,,,X,,,799
1825,5.00E+02,2/10/2011,JB200,,,X,,,799
1826,5.00E+02,2/10/2011,JB200,,,Y,,,255
1831,500,2/19/2011,JB200,1,1,R,813,414,169
2185,5.00E+03,3/9/2012,JB200,,,L,,,105
1836,5.00E+04,3/3/2011,JB200,,,L,,,127
2700,5.00E+07,10/7/2013,JB200,,,G,,,876
1857,5.00E+09,4/14/2011,,,,,,146,801
2863,5.00E+09,3/20/2015,JB200,,,L,,,876
2107,5.00E+11,10/23/2011,JB200,,,G,,,105
2715,5.00E+11,12/2/2013,JB200,,,G,,,105
2706,5A02,10/19/2013,JB200,,,G,,,876
3149,5A02,1/17/2017,JB200          ,0,0,G,               ,775,801
3118,5A03,8/26/2016,JB200          ,0,0,L,               ,               ,127
3203,5A03,5/20/2017,JB200          ,0,0,X,               ,574,801
3277,5A03,12/1/2017,JB200,1,1,R,,733,721
2698,5A04,9/27/2013,JB200,,,L,,,876
3172,5A04,2/22/2017,JB200          ,0,0,G,               ,85,801
2506,5A05,1/18/2013,JB200,,,G,,,105
2750,5A05,3/6/2014,JB200,,,L,,,167
2767,5A05,4/30/2014,JB200,,,H,,,799
2171,5A06,2/17/2012,JB200,,,G,,,105
2172,5A06,2/17/2012,JB200,,,G,,,105
2248,5A06,5/10/2012,JB200,,,L,,,127
2824,5A06,11/4/2014,JB200,,,Y,,,105
3052,5A06,12/2/2015,JB200          ,0,0,G,               ,               ,230
3221,5A06,7/15/2017,JB200          ,0,0,Y,               ,               ,312
3222,5A06,7/17/2017,JB200          ,0,0,Y,               ,               ,900
3224,5A06,7/19/2017,JB200          ,1,1,R,273,322,900
3225,5A06,7/19/2017,JB200          ,0,0,1,               ,273,900
3319,5A06,4/4/2018,JB200,0,0,H,,,799
1683,5A07,8/12/2010,JB25E,1,,R,,,6
2666,5A07,8/3/2013,JB200,,,L,,,876
2135,5A08,12/13/2011,JB200,,,G,,721,242
3238,5A08,8/15/2017,JB200          ,0,0,L,               ,               ,127
2702,5A09,10/8/2013,JB200,,,G,,,876
2994,5A09,8/6/2015,JB200          ,0,0,H,               ,               ,799
2754,5A10,3/23/2014,JB200,,,L,,,876
3150,5A10,1/19/2017,JB200          ,0,0,G,               ,741,801
1559,5A11,4/19/2010,,,,,,,801
2614,5B01,7/15/2013,JA200,,,L,,,135
1808,5B02,12/20/2010,JB25E,1,,R,,,721
2486,5B02,11/26/2012,JB200,,,L,,,127
1694,5B03,8/31/2010,JB200,,,,,,801
1862,5B03,4/26/2011,JB200,,,G,,,750
3173,5B03,2/23/2017,JB200          ,0,0,H,               ,               ,799
3279,5B05,12/2/2017,JB200,0,0,L,,,127
2783,5B06,6/28/2014,JB200,,,L,,,876
3057,5B06,12/17/2015,JB200          ,0,0,G,               ,               ,105
1560,5B07,4/20/2010,,,,,,,802
1561,5B07,4/21/2010,,,,,,,801
2518,5B07,2/22/2013,JB200,,,G,,,876
3073,5B07,2/24/2016,JB200          ,0,0,L,               ,               ,127
1565,5B08,5/5/2010,,,,,,,801
3231,5B08,7/29/2017,JB200          ,0,0,L,               ,               ,812
3234,5B08,8/4/2017,JB200          ,0,0,H,               ,               ,799
3235,5B08,8/4/2017,JB200          ,0,0,L,               ,               ,812
1674,5B09,7/19/2010,JB200,,,,,,801
2498,5B09,12/18/2012,JB200,,,L,,,127
2802,5B09,8/22/2014,JB200,1,1,R,780,746,900
2803,5B09,8/22/2014,JB200,,,1,,780,900
2729,5B10,12/23/2013,JB200,,,G,,,876
1620,5B11,6/7/2010,,,,,,,801
2063,5B11,8/3/2011,JB200,,,L,,,2
3196,5C01,4/12/2017,JA200          ,0,0,Y,               ,               ,255
3200,5C01,5/5/2017,JA200          ,0,0,H,               ,               ,799
2094,5C03,10/8/2011,JB200,1,1,R,110,633,242
2095,5C03,10/10/2011,JB200,,,X,,,799
2096,5C03,10/10/2011,JB200,,,Y,,,169
2097,5C03,10/12/2011,JB200,,,H,,,812
2098,5C03,10/12/2011,JB200,,,L,,,167
2099,5C03,10/14/2011,JB200,,,Y,,,169
2174,5C03,2/21/2012,JB200,,,1,,110,242
1954,5C04,6/8/2011,JB200,,,L,,,730
2751,5C04,3/13/2014,JB200,,,L,,,876
3324,5C04,4/20/2018,JB200,1,1,R,74,646,962
3325,5C04,4/20/2018,JB200,0,0,1,,74,962
2073,5C05,9/8/2011,,,,,,345,801
3095,5C05,5/25/2016,JB200          ,0,0,H,               ,               ,799
2699,5C06,10/1/2013,JB200,,,G,,,876
1997,5C08,6/21/2011,JB200,,,L,,,127
2065,5C08,8/3/2011,,,,,,268,801
2212,5C09,4/10/2012,JB200,,,Y,,,242
2215,5C09,4/11/2012,JB200,,,Y,,,290
2217,5C09,4/13/2012,JB200,1,1,R,554,848,242
2218,5C09,4/13/2012,JB200,,,1,,554,242
2494,5C10,12/11/2012,JB200,,,L,,,127
3159,5D01,2/2/2017,JA200          ,0,0,Y,               ,               ,991
3161,5D01,2/3/2017,JA220,1,1,R,               ,               ,721
3162,5D01,2/3/2017,JA220,0,0,1,               ,109,721
2367,5D02,7/4/2012,JB25E,1,1,R,,,242
2368,5D02,7/6/2012,JB200,,,H,,,799
2369,5D02,7/6/2012,JB200,,,H,,,799
2665,5D04,7/30/2013,JB200,,,L,,,876
2825,5D05,11/14/2014,JB200,,,H,,,799
3101,5D05,6/24/2016,JB200          ,0,0,L,               ,               ,8
3109,5D05,7/16/2016,JB200          ,1,1,R,376,1711,900
3110,5D05,7/16/2016,JB200          ,0,0,1,               ,376,900
3007,5D07,8/31/2015,JB200          ,0,0,X,               ,               ,799
3008,5D07,8/31/2015,JB200          ,0,0,Y,               ,               ,721
3009,5D07,8/31/2015,JB25E,0,0,1,,TAGS091211,6
3010,5D07,8/31/2015,JB25E,1,1,R,,,6
2106,5D08,10/21/2011,JB200,,,X,,,799
2219,5D10,4/13/2012,JB200,,,L,,,127
2981,5D10,7/9/2015,JB200          ,0,0,H,               ,               ,799
2693,5F01,9/10/2013,JA200,,,G,,,105
2006,5F02,7/8/2011,JB200,,,H,,,799
1853,5F03,4/8/2011,JB200,,1,R,559,295,561
3048,5F03,11/26/2015,JB200          ,0,0,Y,               ,               ,900
3050,5F03,11/30/2015,JB200          ,0,0,1,               ,295,900
3051,5F03,11/30/2015,JB200          ,1,1,R,295,772,900
2759,5F04,4/10/2014,JB200,,,H,,,799
2711,5F05,11/16/2013,JB200,,,G,,,876
1587,5F06,5/18/2010,,,,,,,801
3037,5F09,10/21/2015,JB200          ,0,0,L,               ,               ,876
2710,5F10,11/15/2013,JB200,,,G,,,876
1690,5F11,8/25/2010,JB200,,,,,,801
2157,5F11,1/18/2012,JB200,,,G,,,750
2984,5F11,7/22/2015,JB200          ,0,0,L,               ,               ,876
2842,5G01,1/23/2015,JA200,,,L,,,812
2848,5G01,2/4/2015,JA200,,,H,,,799
3053,5G01,12/4/2015,JA200          ,0,0,H,               ,               ,799
2814,5G03,9/30/2014,JB200,,,L,,,876
2696,5G04,9/24/2013,JB200,,,L,,,876
2366,5G05,7/4/2012,JB25E,1,1,R,,,242
2708,5G05,10/25/2013,JB200,,,Y,,,900
2709,5G05,10/25/2013,JB200,1,1,R,824,565,900
2742,5G05,1/24/2014,JB200,,,1,,824,900
2769,5G06,5/7/2014,JB200,,,L,,,876
1992,5G08,6/17/2011,JB200,,,L,,,127
1953,5G09,6/7/2011,JB200,,,G,,,750
3223,5G09,7/18/2017,JB200          ,0,0,Y,               ,               ,721
3228,5G09,7/25/2017,JB25E          ,1,1,R,               ,               ,721
3229,5G09,7/25/2017,JB25E          ,0,0,1,               ,TAGS450929     ,721
3254,5G09,9/27/2017,JB25E          ,1,1,R,               ,               ,721
3255,5G09,9/28/2017,JB000          ,0,0,H,               ,               ,799
3295,5G09,1/8/2018,JB200,1,1,R,235,522,105
3296,5G09,1/8/2018,JB200,0,0,1,,235,255
3297,5G09,1/9/2018,JB200,0,0,F,,,105
1804,5H02,12/14/2010,,,,,,,801
2714,5H02,11/24/2013,JB200,,,G,,,876
2716,5H03,12/3/2013,JB200,,,Y,,,721
2717,5H03,12/4/2013,JB200,1,1,R,772,850,721
2718,5H03,12/4/2013,JB200,,,1,,772,721
2370,5H05,7/6/2012,JB200,,,G,,,105
2371,5H05,7/6/2012,JB200,,,X,,,799
2805,5H05,9/4/2014,JB200,,,L,,,876
1693,5H06,8/27/2010,JB200,,,,,,801
2503,5H06,1/7/2013,JB200,,,G,,,876
1868,5H07,4/29/2011,JB200,,,L,,,127
2030,5H08,7/14/2011,JB200,,,L,,,2
1733,5H09,11/2/2010,,,,,,,801
1738,5H10,11/16/2010,,,,,,,801
2774,5H10,6/19/2014,JB200,,,L,,,876
1743,5H11,12/1/2010,,,,,,,801
2705,5H11,10/18/2013,JB200,,,G,,,876
1671,5I02,7/15/2010,JB200,,,,,,801
2583,5I02,6/9/2013,JB200,,,L,,,876
1677,5I03,7/29/2010,JB200,,,,,,801
1687,5I04,8/19/2010,JB200,,,,,,801
2615,5I04,7/18/2013,JB200,,,G,,,105
3247,5I05,9/6/2017,JB200          ,0,0,H,               ,               ,799
1695,5I06,9/8/2010,JB200,,,,,,801
2793,5I07,7/26/2014,JB200,,,L,,,876
3167,5I07,2/14/2017,JB200          ,0,0,X,               ,125,801
2811,5I08,9/20/2014,JB200,,,L,,,876
3259,5I08,10/7/2017,JB200,0,0,Y,,,991
3262,5I08,10/20/2017,JB200,0,1,R,184,679,991
3267,5I08,11/4/2017,JB200,0,0,Y,,,160
3268,5I08,11/7/2017,JB200,0,0,L,,,2
2221,5I09,4/17/2012,JB200,,,L,,,127
3258,5I09,10/6/2017,JB200,0,0,L,,,127
1722,5I10,10/18/2010,,,,,,,801
2753,5I10,3/21/2014,JB200,,,L,,,876
2692,5I11,9/5/2013,JB200,,,L,,,876
1848,5J01,3/29/2011,JA200,,,X,,,799
2682,5J01,8/23/2013,JA200,,,L,,,944
3094,5J01,5/19/2016,JA200          ,0,0,H,               ,               ,799
2246,5J02,5/9/2012,,,,,,427,801
2816,5J03,10/2/2014,JB200,,,L,,,876
3166,5J03,2/13/2017,JB210,0,0,Y,,,135
3175,5J03,2/28/2017,JB200          ,0,0,H,               ,               ,799
3176,5J03,3/1/2017,JB21A,0,0,R,,,135
3184,5J03,3/4/2017,JB21A,1,0,R,,,615
2660,5J05,7/27/2013,JB200,,,L,,,876
2731,5J07,12/26/2013,JB200,,,Y,,,900
2733,5J07,12/27/2013,JB200,1,1,R,206,87,900
2734,5J07,12/27/2013,JB200,,,1,,206,900
3321,5J08,4/12/2018,JB200,0,0,G,,,105
2695,5J09,9/22/2013,JB200,,,L,,,876
2379,5J10,7/19/2012,JB25D,0,1,R,,,242
2380,5J10,7/21/2012,JB200,1,1,R,461,1711,169
2381,5J10,7/21/2012,JB200,,,1,,461,169
2382,5J10,7/21/2012,JB200,,,H,,,799
2961,5J10,6/23/2015,JB200          ,1,1,R,1711,665,135
2962,5J10,6/23/2015,JB200          ,0,0,1,               ,1711,135
2582,5J11,6/7/2013,JB200,,,H,,,799
2643,5J11,7/24/2013,JB200,,,L,,,876
2059,5K01,7/18/2011,JA200,,,X,,,799
2062,5K01,7/24/2011,JA200,,,H,,,799
3114,5K01,8/5/2016,JA200          ,0,0,L,               ,               ,812
2815,5K03,10/2/2014,JB200,,,H,,,799
2052,5K04,7/15/2011,JB200,,,L,,,2
2475,5K05,11/17/2012,JB200,,,X,,,804
3351,5K07,6/16/2018,JB200,0,0,H,,,799
2524,5K08,3/19/2013,JB200,,,H,,,799
2183,5K09,3/8/2012,JB200,,,L,,,105
2794,5K10,8/1/2014,JB200,,,H,,,799
3174,5K11,2/27/2017,JB200          ,0,0,Y,               ,               ,721
3177,5K11,3/3/2017,JB200          ,0,0,H,               ,               ,799
3178,5K11,3/3/2017,JB200          ,1,1,R,792,39,900
3179,5K11,3/3/2017,JB200          ,0,0,X,               ,               ,799
3180,5K11,3/3/2017,JB200          ,0,0,1,               ,792,900
2231,5L01,4/27/2012,JA220,,,X,,,799
2232,5L01,4/27/2012,JA220,,,Y,,,169
2233,5L01,4/27/2012,JA220          ,0,0,Y,               ,               ,169
2234,5L01,4/27/2012,JA220          ,0,0,X,               ,               ,799
2235,5L01,4/28/2012,JA220,1,,R,,,602
2237,5L01,4/28/2012,JA220          ,1,1,R,131,103,602
2681,5L01,8/22/2013,JA200,,,L,,,127
2703,5L01,10/12/2013,JA200,,,X,,,799
2959,5L01,6/23/2015,JA200          ,0,0,H,               ,               ,799
2960,5L01,6/23/2015,JA200          ,0,0,Y,               ,               ,991
2974,5L01,7/2/2015,JA200          ,1,1,R,1090,1087,991
2975,5L01,7/2/2015,JA200          ,0,0,1,               ,1090,991
2986,5L01,7/27/2015,JA200          ,0,0,H,               ,               ,799
2997,5L01,8/13/2015,JA200          ,0,0,X,               ,               ,799
2142,5L02,12/18/2011,JB200,,,X,,760,799
2476,5L02,11/18/2012,JB200,,,X,,,804
2003,5L03,7/1/2011,JB200,,,H,,,799
2064,5L03,8/3/2011,JB200,,,L,,,2
2834,5L03,12/9/2014,JB200,,,H,,,799
3187,5L03,3/30/2017,JB200          ,0,0,H,               ,               ,799
1704,5L06,10/4/2010,,,,,,,801
2167,5L06,2/8/2012,JB200,,,L,,,105
3060,5L06,12/28/2015,JB200          ,0,0,L,               ,               ,105
2819,5L07,10/6/2014,JB200,,,Y,,,105
2487,5L09,11/28/2012,JB200,,,L,,,127
2375,5L10,7/13/2012,JB200,,,L,,,127
2477,5L10,11/18/2012,JB200,,,X,,,804
2833,5L11,12/5/2014,JB200,,,L,,,876
3084,5L11,4/22/2016,JB200          ,0,0,1,               ,510,900
3085,5L11,4/22/2016,JB200          ,1,1,R,510,744,900
2376,5M01,7/15/2012,JA200,,,X,,,799
3125,5M02,10/22/2016,JB200          ,0,0,L,               ,               ,127
3191,5M03,4/4/2017,JB200          ,0,0,H,               ,               ,799
3193,5M03,4/4/2017,JB200          ,0,0,X,               ,514,801
3216,5M04,6/30/2017,JB200          ,0,0,X,               ,527,801
2474,5M05,11/16/2012,JB200,,,X,,,804
3096,5M05,6/17/2016,JB200          ,0,0,G,               ,               ,105
2963,5M06,6/23/2015,JB200          ,0,0,H,               ,               ,799
3168,5M06,2/17/2017,JB200          ,0,0,G,               ,428,802
3169,5M06,2/17/2017,JB200          ,0,0,G,               ,428,801
3170,5M06,2/17/2017,JB200          ,0,0,H,               ,               ,799
3171,5M06,2/17/2017,JB250,0,0,G,,,105
3205,5M06,5/25/2017,JB200          ,0,0,X,               ,               ,799
2610,5M07,6/27/2013,JB200,,,L,,,876
2492,5M08,12/7/2012,JB200,,,X,,,804
2773,5M08,6/12/2014,JB200,,,L,,,876
2830,5M09,11/20/2014,JB200,,,G,,,105
2193,5M10,3/21/2012,JB200,1,1,R,405,800,334
2829,5M11,11/18/2014,JB200,,,H,,,799
3188,5M11,3/31/2017,JB200          ,0,0,G,               ,132,801
3189,5M11,3/31/2017,JB200          ,0,0,L,               ,               ,127
1854,5N01,4/9/2011,JA200,,,X,,,799
1855,5N01,4/9/2011,JA200,,,X,,,799
2236,5N01,4/28/2012,JA220,,,T,,,875
2238,5N01,4/28/2012,JA220          ,0,0,T,103,               ,875
2301,5N01,5/31/2012,JA220,,,U,,,875
2302,5N01,5/31/2012,JA220          ,0,0,U,103,               ,875
